Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound_lap,TyreLife,FreshTyre,Team,Position,LapTimeSeconds_lap,TrackTemp,AirTemp,Humidity,WindSpeed
0 days 01:04:08.731000,STR,18,0 days 00:01:39.242000,3,1,,,False,HARD,3,True,Aston Martin,14,99.242,35.1,27.3,18.0,3.0
0 days 01:04:09.402000,SAI,55,0 days 00:01:39.270000,3,1,,,False,MEDIUM,3,True,Williams,15,99.27,35.1,27.3,18.0,3.0
0 days 01:04:09.853000,BEA,87,0 days 00:01:39.087000,3,1,,,False,HARD,3,True,Haas F1 Team,16,99.087,35.1,27.3,18.0,3.0
0 days 01:04:10.568000,DOO,7,0 days 00:01:39.483000,3,1,,,False,MEDIUM,3,False,Alpine,17,99.483,35.1,27.3,18.0,3.0
0 days 01:04:11.408000,LAW,30,0 days 00:01:39.738000,3,1,,,False,HARD,3,True,Red Bull Racing,18,99.738,35.1,27.3,18.0,3.0
0 days 01:04:13.550000,HUL,27,0 days 00:01:40.588000,3,1,,,False,MEDIUM,3,True,Kick Sauber,19,100.588,35.1,27.3,18.0,3.0
0 days 01:04:41.839000,BOR,5,0 days 00:01:37.965000,3,2,,,False,HARD,2,True,Kick Sauber,20,97.965,35.0,27.3,18.0,3.0
0 days 01:05:34.490000,PIA,81,0 days 00:01:37.804000,4,1,,,False,MEDIUM,4,True,McLaren,1,97.804,35.0,27.4,18.0,3.0
0 days 01:05:35.399000,NOR,4,0 days 00:01:37.719000,4,1,,,False,MEDIUM,4,True,McLaren,2,97.719,35.0,27.4,18.0,3.0
0 days 01:05:36.264000,RUS,63,0 days 00:01:37.643000,4,1,,,False,MEDIUM,4,True,Mercedes,3,97.643,35.0,27.4,18.0,3.0
0 days 01:05:38.006000,HAM,44,0 days 00:01:38.087000,4,1,,,False,MEDIUM,4,True,Ferrari,4,98.087,35.0,27.4,18.0,3.0
0 days 01:05:38.784000,LEC,16,0 days 00:01:37.648000,4,1,,,False,MEDIUM,4,True,Ferrari,5,97.648,35.0,27.4,18.0,3.0
0 days 01:05:40.571000,VER,1,0 days 00:01:38.614000,4,1,,,False,MEDIUM,4,True,Red Bull Racing,6,98.614,35.0,27.4,18.0,3.0
0 days 01:05:41.784000,ANT,12,0 days 00:01:38.824000,4,1,,,False,MEDIUM,4,True,Mercedes,7,98.824,35.0,27.4,18.0,3.0
0 days 01:05:43.211000,TSU,22,0 days 00:01:38.762000,4,1,,,False,MEDIUM,4,True,Racing Bulls,8,98.762,35.0,27.4,18.0,3.0
0 days 01:05:44.504000,HAD,6,0 days 00:01:38.895000,4,1,,,False,MEDIUM,4,True,Racing Bulls,9,98.895,35.0,27.4,18.0,3.0
0 days 01:05:45.008000,OCO,31,0 days 00:01:38.921000,4,1,,,False,MEDIUM,4,True,Haas F1 Team,10,98.921,35.0,27.4,18.0,3.0
0 days 01:05:45.959000,ALB,23,0 days 00:01:39.046000,4,1,,,False,MEDIUM,4,True,Williams,11,99.046,35.0,27.4,18.0,3.0
0 days 01:05:46.773000,GAS,10,0 days 00:01:38.701000,4,1,,,False,MEDIUM,4,False,Alpine,12,98.701,35.0,27.4,18.0,3.0
0 days 01:05:47.386000,STR,18,0 days 00:01:38.655000,4,1,,,False,HARD,4,True,Aston Martin,13,98.655,35.0,27.4,18.0,3.0
0 days 01:05:48.191000,SAI,55,0 days 00:01:38.789000,4,1,,,False,MEDIUM,4,True,Williams,14,98.789,35.0,27.4,18.0,3.0
0 days 01:05:49.603000,BEA,87,0 days 00:01:39.750000,4,1,,,False,HARD,4,True,Haas F1 Team,15,99.75,35.0,27.4,18.0,3.0
0 days 01:05:50.090000,DOO,7,0 days 00:01:39.522000,4,1,,,False,MEDIUM,4,False,Alpine,16,99.522,35.0,27.4,18.0,3.0
0 days 01:05:51.022000,LAW,30,0 days 00:01:39.614000,4,1,,,False,HARD,4,True,Red Bull Racing,17,99.614,35.0,27.4,18.0,3.0
0 days 01:05:53.537000,HUL,27,0 days 00:01:39.987000,4,1,,,False,MEDIUM,4,True,Kick Sauber,18,99.987,35.0,27.4,18.0,3.0
0 days 01:06:20.264000,BOR,5,0 days 00:01:38.425000,4,2,,,False,HARD,3,True,Kick Sauber,19,98.425,34.9,27.3,18.0,2.0
0 days 01:06:28.676000,ALO,14,0 days 00:02:20.966000,4,1,,0 days 01:06:26.536000,False,MEDIUM,9,False,Aston Martin,20,140.966,34.9,27.3,18.0,2.0
0 days 01:07:12.572000,PIA,81,0 days 00:01:38.082000,5,1,,,False,MEDIUM,5,True,McLaren,1,98.082,34.9,27.3,18.0,2.0
0 days 01:07:13.316000,NOR,4,0 days 00:01:37.917000,5,1,,,False,MEDIUM,5,True,McLaren,2,97.917,34.9,27.3,18.0,2.0
0 days 01:07:14.085000,RUS,63,0 days 00:01:37.821000,5,1,,,False,MEDIUM,5,True,Mercedes,3,97.821,34.9,27.3,18.0,2.0
0 days 01:07:15.808000,HAM,44,0 days 00:01:37.802000,5,1,,,False,MEDIUM,5,True,Ferrari,4,97.802,34.9,27.3,18.0,2.4
0 days 01:07:17.037000,LEC,16,0 days 00:01:38.253000,5,1,,,False,MEDIUM,5,True,Ferrari,5,98.253,34.9,27.3,18.0,2.4
0 days 01:07:19.466000,VER,1,0 days 00:01:38.895000,5,1,,,False,MEDIUM,5,True,Red Bull Racing,6,98.895,34.9,27.3,18.0,2.4
0 days 01:07:20.581000,ANT,12,0 days 00:01:38.797000,5,1,,,False,MEDIUM,5,True,Mercedes,7,98.797,34.9,27.3,18.0,2.4
0 days 01:07:22.066000,TSU,22,0 days 00:01:38.855000,5,1,,,False,MEDIUM,5,True,Racing Bulls,8,98.855,34.9,27.3,18.0,2.4
0 days 01:07:23.250000,HAD,6,0 days 00:01:38.746000,5,1,,,False,MEDIUM,5,True,Racing Bulls,9,98.746,34.9,27.3,18.0,2.4
0 days 01:07:23.914000,OCO,31,0 days 00:01:38.906000,5,1,,,False,MEDIUM,5,True,Haas F1 Team,10,98.906,34.9,27.3,18.0,2.4
0 days 01:07:24.505000,ALB,23,0 days 00:01:38.546000,5,1,,,False,MEDIUM,5,True,Williams,11,98.546,34.9,27.3,18.0,2.4
0 days 01:07:25.301000,GAS,10,0 days 00:01:38.528000,5,1,,,False,MEDIUM,5,False,Alpine,12,98.528,34.9,27.3,18.0,2.4
0 days 01:07:26.187000,STR,18,0 days 00:01:38.801000,5,1,,,False,HARD,5,True,Aston Martin,13,98.801,34.9,27.3,18.0,2.4
0 days 01:07:26.978000,SAI,55,0 days 00:01:38.787000,5,1,,,False,MEDIUM,5,True,Williams,14,98.787,34.9,27.3,18.0,2.4
0 days 01:07:28.661000,BEA,87,0 days 00:01:39.058000,5,1,,,False,HARD,5,True,Haas F1 Team,15,99.058,34.9,27.3,18.0,2.4
0 days 01:07:29.269000,DOO,7,0 days 00:01:39.179000,5,1,,,False,MEDIUM,5,False,Alpine,16,99.179,34.9,27.3,18.0,2.4
0 days 01:07:30.250000,LAW,30,0 days 00:01:39.228000,5,1,,,False,HARD,5,True,Red Bull Racing,17,99.228,34.9,27.3,18.0,2.4
0 days 01:07:33.343000,HUL,27,0 days 00:01:39.806000,5,1,,,False,MEDIUM,5,True,Kick Sauber,18,99.806,34.9,27.3,18.0,2.4
0 days 01:07:59.156000,BOR,5,0 days 00:01:38.892000,5,2,,,False,HARD,4,True,Kick Sauber,19,98.892,34.9,27.3,18.0,2.4
0 days 01:08:50.111000,PIA,81,0 days 00:01:37.539000,6,1,,,False,MEDIUM,6,True,McLaren,1,97.539,35.0,27.3,18.0,1.8
0 days 01:08:51.172000,NOR,4,0 days 00:01:37.856000,6,1,,,False,MEDIUM,6,True,McLaren,2,97.856,35.0,27.3,18.0,1.8
0 days 01:08:52.548000,RUS,63,0 days 00:01:38.463000,6,1,,,False,MEDIUM,6,True,Mercedes,3,98.463,35.0,27.3,18.0,1.8
0 days 01:08:54.029000,HAM,44,0 days 00:01:38.221000,6,1,,,False,MEDIUM,6,True,Ferrari,4,98.221,35.0,27.3,18.0,1.8
0 days 01:08:55.323000,LEC,16,0 days 00:01:38.286000,6,1,,,False,MEDIUM,6,True,Ferrari,5,98.286,35.0,27.3,18.0,1.8
